Text16;Текст3;Text14;Text18;Text17;Текст5;Text23;Text24
Организация;;;Демо;;;;
Группа;;;Грузовые;;;;
Наименование;;;Камаз трололо );;;Минимальная продолжительность стоянки;0:01:00
Регистрационный №;;;д 555 дд;;;;
Позывной;;;Мусоровоз;;;;
№;Период стоянки с;;Период стоянки по;;Продолжи- тельность;Место стоянки;
;Дата;Время;Дата;Время;;;
117;16.08.2013;20:27:40;16.08.2013;20:29:44;0:02:04;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24""";
118;16.08.2013;20:29:51;16.08.2013;20:32:32;0:02:41;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14""";
119;16.08.2013;20:36:04;16.08.2013;20:37:30;0:01:26;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51""";
120;16.08.2013;20:37:43;16.08.2013;20:39:38;0:01:55;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66""";
121;16.08.2013;20:40:30;16.08.2013;20:42:14;0:01:44;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21""";
122;16.08.2013;20:43:32;16.08.2013;20:45:25;0:01:53;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95""";
123;16.08.2013;20:46:51;16.08.2013;20:49:53;0:03:02;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18""";
124;16.08.2013;20:51:55;16.08.2013;20:52:56;0:01:01;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88""";
125;16.08.2013;20:53:08;16.08.2013;20:54:56;0:01:48;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62""";
126;16.08.2013;21:02:28;16.08.2013;21:07:32;0:05:04;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98""";
127;16.08.2013;21:09:32;16.08.2013;21:16:21;0:06:49;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75""";
128;16.08.2013;21:43:54;16.08.2013;21:49:17;0:05:23;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12""";
129;16.08.2013;21:54:34;16.08.2013;21:56:01;0:01:27;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46""";
130;16.08.2013;21:58:14;16.08.2013;22:09:09;0:10:55;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88""";
131;16.08.2013;22:10:37;16.08.2013;22:15:44;0:05:07;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90""";
132;16.08.2013;22:38:32;16.08.2013;22:47:21;0:08:49;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77""";
133;16.08.2013;22:54:10;16.08.2013;23:11:39;0:17:29;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46""";
134;16.08.2013;23:13:03;16.08.2013;23:17:23;0:04:20;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95""";
