Text11;Text20;Text21;Текст10;Text15;TextLocus
29;04:01:24;04:10:28;0:09:04;0,00;Точка №3 тупичёк за озером.
30;04:37:50;05:07:34;0:29:44;21,33;Хоз двор. Место где находится гараж.
31;05:12:00;05:18:52;0:06:52;0,90;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08"""
32;05:19:38;05:31:22;0:11:44;0,18;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68"""
33;05:32:43;05:37:17;0:04:34;0,26;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70"""
34;05:37:43;06:07:33;0:29:50;0,13;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66"""
35;06:08:28;06:11:50;0:03:22;0,14;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06"""
36;06:11:54;06:13:17;0:01:23;0,07;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26"""
37;06:13:20;06:18:24;0:05:04;0,02;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02"""
38;06:18:38;06:23:43;0:05:05;0,10;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20"""
39;06:24:30;06:26:34;0:02:04;0,16;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24"""
40;06:26:41;06:29:22;0:02:41;0,06;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14"""
41;06:32:54;06:34:20;0:01:26;1,81;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51"""
42;06:34:33;06:36:28;0:01:55;0,09;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66"""
43;06:37:20;06:39:04;0:01:44;0,11;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21"""
44;06:40:22;06:42:15;0:01:53;0,20;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95"""
45;06:43:41;06:46:43;0:03:02;0,18;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18"""
46;06:48:45;06:49:46;0:01:01;0,30;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88"""
47;06:49:58;06:51:46;0:01:48;0,07;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62"""
48;06:59:18;07:04:22;0:05:04;4,40;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98"""
49;07:06:22;07:13:11;0:06:49;0,14;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75"""
50;07:40:44;07:46:07;0:05:23;19,51;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12"""
51;07:51:24;07:52:51;0:01:27;2,87;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46"""
52;07:55:04;08:05:59;0:10:55;0,60;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88"""
53;08:07:27;08:12:34;0:05:07;0,25;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90"""
54;08:35:22;08:44:11;0:08:49;17,79;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77"""
